,Ant,CRC,Count,EPC,Freq,PC,Phase,Protocol,RSSI,Time,_id
0,1,0x29D2,1,E200001939070129131062B4,912750,0x3000,11,GEN2,-49,2018-12-18 07:46:59.888,5c18a38d54a6fca8b351ad1c
1,1,0xBBF7,1,E200001939070049131014D4,912750,0x3000,168,GEN2,-53,2018-12-18 07:46:59.898,5c18a38d54a6fca8b351ad1e
2,1,0xF616,1,E2000019591901601750815C,912750,0x3000,0,GEN2,-64,2018-12-18 07:46:59.899,5c18a38d54a6fca8b351ad20
3,1,0x4713,1,E20000193907006913102966,912750,0x3000,78,GEN2,-51,2018-12-18 07:46:59.908,5c18a38d54a6fca8b351ad22
4,1,0xB3DA,1,E200001959190173175097E6,912750,0x3000,120,GEN2,-67,2018-12-18 07:46:59.918,5c18a38d54a6fca8b351ad24
5,1,0xA89B,1,E20000195919016517508F2E,912750,0x3000,115,GEN2,-62,2018-12-18 07:46:59.919,5c18a38d54a6fca8b351ad26
6,1,0x84FC,1,E2000019390701391310743D,912750,0x3000,157,GEN2,-53,2018-12-18 07:46:59.929,5c18a38d54a6fca8b351ad2a
7,1,0xC73A,1,E200001959190171175097E5,912750,0x3000,5,GEN2,-63,2018-12-18 07:46:59.938,5c18a38d54a6fca8b351ad2c
8,1,0xCD24,1,E200001939070030131007FF,912750,0x3000,137,GEN2,-64,2018-12-18 07:46:59.948,5c18a38d54a6fca8b351ad2e
9,1,0xD100,1,E20000193907006113102226,912750,0x3000,104,GEN2,-49,2018-12-18 07:46:59.949,5c18a38d54a6fca8b351ad30
10,1,0x760E,1,E20000195919016217508A19,912750,0x3000,50,GEN2,-61,2018-12-18 07:46:59.950,5c18a38d54a6fca8b351ad32
11,1,0x6E7E,1,E200001959190175175097E7,912750,0x3000,120,GEN2,-58,2018-12-18 07:46:59.958,5c18a38d54a6fca8b351ad34
12,1,0x9BE0,1,E200001939070029131009B6,912750,0x3000,75,GEN2,-61,2018-12-18 07:46:59.959,5c18a38d54a6fca8b351ad36
13,1,0x88AE,1,E20000193907010913105176,912750,0x3000,33,GEN2,-66,2018-12-18 07:46:59.968,5c18a38d54a6fca8b351ad38
14,1,0xBA87,1,E200001939070079131030EB,912750,0x3000,33,GEN2,-56,2018-12-18 07:46:59.969,5c18a38d54a6fca8b351ad3a
15,1,0x3FDC,1,E20000193907004013000CF8,912750,0x3000,160,GEN2,-62,2018-12-18 07:46:59.978,5c18a38d54a6fca8b351ad3c
16,1,0x2E3B,1,E200001939070050131018B5,912750,0x3000,146,GEN2,-49,2018-12-18 07:46:59.979,5c18a38d54a6fca8b351ad3e
17,1,0x75A4,1,E2000019390700821310357D,912750,0x3000,149,GEN2,-57,2018-12-18 07:46:59.989,5c18a38d54a6fca8b351ad40
18,1,0x8BE8,1,E20000195919016417508A1A,912750,0x3000,90,GEN2,-63,2018-12-18 07:46:59.990,5c18a38d54a6fca8b351ad42
19,1,0xCC05,1,E200001959190174175092DB,912750,0x3000,104,GEN2,-64,2018-12-18 07:46:59.991,5c18a38d54a6fca8b351ad44
20,1,0xBD6B,1,E20000193907014513107440,912750,0x3000,67,GEN2,-57,2018-12-18 07:46:59.998,5c18a38d54a6fca8b351ad46
21,1,0x11A1,1,E200001959190172175092DA,912750,0x3000,92,GEN2,-56,2018-12-18 07:46:59.999,5c18a38d54a6fca8b351ad48
22,1,0xC4A8,1,E20000193907012813105F1C,912750,0x3000,2,GEN2,-53,2018-12-18 07:47:00.019,5c18a38d54a6fca8b351ad50
23,1,0x642B,1,E200001939070027131009B5,912750,0x3000,39,GEN2,-63,2018-12-18 07:47:00.028,5c18a38d54a6fca8b351ad52
24,1,0x203E,1,E20000195919016117508670,912750,0x3000,132,GEN2,-71,2018-12-18 07:47:00.029,5c18a38d54a6fca8b351ad54
25,1,0xDB72,1,E200001939070028131007FE,912750,0x3000,109,GEN2,-60,2018-12-18 07:47:00.038,5c18a38d54a6fca8b351ad56
26,1,0xD137,1,E20000193907012013105670,912750,0x3000,135,GEN2,-70,2018-12-18 07:47:00.048,5c18a38d54a6fca8b351ad58
27,1,0x6005,1,E20000195919016817508A1C,912750,0x3000,115,GEN2,-70,2018-12-18 07:47:00.058,5c18a38d54a6fca8b351ad5c
28,1,0xFC39,1,E20000195919016717508F2F,912750,0x3000,137,GEN2,-76,2018-12-18 07:47:00.059,5c18a38d54a6fca8b351ad5e
29,1,0xF861,1,E200001959190176175092DC,912750,0x3000,140,GEN2,-73,2018-12-18 07:47:00.068,5c18a38d54a6fca8b351ad60
30,1,0xBF2E,1,E20000193907005113101B4D,912750,0x3000,78,GEN2,-70,2018-12-18 07:47:00.069,5c18a38d54a6fca8b351ad62
31,1,0x6541,1,E200001959190170175092D9,912750,0x3000,33,GEN2,-71,2018-12-18 07:47:00.078,5c18a38d54a6fca8b351ad64
32,2,0x7C74,1,E2000019390700681310266E,912750,0x3000,160,GEN2,-57,2018-12-18 07:47:00.098,5c18a38d54a6fca8b351ad66
